task_categories,text-classification,text-classification text2text-generation text-generation,time-series-forecasting,text-generation,reinforcement-learning text-generation question-answering,text-generation fill-mask,text-generation,text-generation,text-generation,question-answering,question-answering,text-classification token-classification question-answering,text2text-generation,text-generation fill-mask,other,translation token-classification text2text-generation text-retrieval text-generation text-classification feature-extraction question-answering,text-generation,question-answering,text-to-image image-to-text,image-to-text text-generation,question-answering,image-to-text,summarization question-answering text-generation text2text-generation,multiple-choice,automatic-speech-recognition,fill-mask text-generation,text-classification
text-classification,0.0,6.037288188934326,8.247495651245117,7.560300827026367,8.462762832641602,9.130529403686523,7.560300827026367,7.560300827026367,7.560300827026367,7.714375972747803,7.714375972747803,5.92106294631958,8.43641185760498,9.130529403686523,8.80843448638916,6.47622537612915,7.560300827026367,7.714375972747803,8.108431816101074,8.380539894104004,7.714375972747803,8.363383293151855,7.933553218841553,7.6613545417785645,7.611985683441162,9.14696216583252,0.0
text-classification text2text-generation text-generation,6.037288188934326,0.0,8.114921569824219,4.594829082489014,6.238146781921387,6.884920597076416,4.594829082489014,4.594829082489014,4.594829082489014,7.796982288360596,7.796982288360596,6.601001739501953,4.049254417419434,6.884920597076416,8.636717796325684,4.585570335388184,4.594829082489014,7.796982288360596,6.586543560028076,5.396292209625244,7.796982288360596,7.012317657470703,4.839840888977051,7.834463596343994,7.736959457397461,6.57982063293457,6.037288188934326
time-series-forecasting,8.247495651245117,8.114921569824219,0.0,8.789178848266602,8.469173431396484,9.32496166229248,8.789178848266602,8.789178848266602,8.789178848266602,8.11528491973877,8.11528491973877,8.309802055358887,9.348688125610352,9.32496166229248,8.3925142288208,7.4098687171936035,8.789178848266602,8.11528491973877,8.251715660095215,8.721195220947266,8.11528491973877,8.627676010131836,7.948898792266846,7.987354755401611,7.78141450881958,9.333276748657227,8.247495651245117
text-generation,7.560300827026367,4.594829082489014,8.789178848266602,0.0,6.073975086212158,6.7407002449035645,0.0,0.0,0.0,7.939209461212158,7.939209461212158,8.133367538452148,4.393923759460449,6.7407002449035645,9.53293514251709,6.556044101715088,0.0,7.939209461212158,7.275863170623779,4.714733600616455,7.939209461212158,7.380518913269043,5.62573766708374,8.426631927490234,8.458817481994629,6.223977088928223,7.560300827026367
reinforcement-learning text-generation question-answering,8.462762832641602,6.238146781921387,8.469173431396484,6.073975086212158,0.0,7.889996528625488,6.073975086212158,6.073975086212158,6.073975086212158,6.000476360321045,6.000476360321045,6.6215996742248535,6.794870376586914,7.889996528625488,8.885350227355957,5.320830821990967,6.073975086212158,6.000476360321045,7.721203327178955,6.807994842529297,6.000476360321045,8.070744514465332,4.791575908660889,7.9694671630859375,8.687532424926758,7.6219801902771,8.462762832641602
text-generation fill-mask,9.130529403686523,6.884920597076416,9.32496166229248,6.7407002449035645,7.889996528625488,0.0,6.7407002449035645,6.7407002449035645,6.7407002449035645,8.996278762817383,8.996278762817383,8.802970886230469,6.640147686004639,0.0,9.726339340209961,7.453934669494629,6.7407002449035645,8.996278762817383,6.739036560058594,6.0715107917785645,8.996278762817383,6.908929824829102,7.156942367553711,8.77133560180664,8.877885818481445,1.3649585247039795,9.130529403686523
text-generation,7.560300827026367,4.594829082489014,8.789178848266602,0.0,6.073975086212158,6.7407002449035645,0.0,0.0,0.0,7.939209461212158,7.939209461212158,8.133367538452148,4.393923759460449,6.7407002449035645,9.53293514251709,6.556044101715088,0.0,7.939209461212158,7.275863170623779,4.714733600616455,7.939209461212158,7.380518913269043,5.62573766708374,8.426631927490234,8.458817481994629,6.223977088928223,7.560300827026367
text-generation,7.560300827026367,4.594829082489014,8.789178848266602,0.0,6.073975086212158,6.7407002449035645,0.0,0.0,0.0,7.939209461212158,7.939209461212158,8.133367538452148,4.393923759460449,6.7407002449035645,9.53293514251709,6.556044101715088,0.0,7.939209461212158,7.275863170623779,4.714733600616455,7.939209461212158,7.380518913269043,5.62573766708374,8.426631927490234,8.458817481994629,6.223977088928223,7.560300827026367
text-generation,7.560300827026367,4.594829082489014,8.789178848266602,0.0,6.073975086212158,6.7407002449035645,0.0,0.0,0.0,7.939209461212158,7.939209461212158,8.133367538452148,4.393923759460449,6.7407002449035645,9.53293514251709,6.556044101715088,0.0,7.939209461212158,7.275863170623779,4.714733600616455,7.939209461212158,7.380518913269043,5.62573766708374,8.426631927490234,8.458817481994629,6.223977088928223,7.560300827026367
question-answering,7.714375972747803,7.796982288360596,8.11528491973877,7.939209461212158,6.000476360321045,8.996278762817383,7.939209461212158,7.939209461212158,7.939209461212158,0.0,0.0,5.654626369476318,8.674750328063965,8.996278762817383,8.299123764038086,5.981132984161377,7.939209461212158,0.0,8.178194046020508,8.451955795288086,0.0,8.2813138961792,6.188757419586182,7.383147239685059,7.942434787750244,8.886298179626465,7.714375972747803
